Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
Hernandez-Ryan Pvt. Ltd.,Manufacturing,India,Gemini,2022,5284,15,4840,13.5,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
"Humphrey, Sawyer and Lewis Pvt. Ltd.",Education,France,LLaMA,2024,1974,24,2148,24.3,I love using AI—it makes my job easier and more fun. Job rotations have increased.
"Garrett, Joyce and Johnson Pvt. Ltd.",Education,Singapore,Groq,2022,8542,21,12924,7.2,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
Juarez-Solomon Pvt. Ltd.,Technology,South Africa,Gemini,2023,8040,24,9683,20.2,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Gordon PLC Pvt. Ltd.,Education,Canada,Mixtral,2022,3753,14,12647,32.3,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
"Mercado, Williams and Hicks Pvt. Ltd.",Legal Services,Germany,Mixtral,2022,1854,2,12250,13.2,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Walton-Bonilla Pvt. Ltd.,Advertising,Australia,Groq,2022,16418,24,4806,20.8,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
Spencer-Johnson Pvt. Ltd.,Retail,Canada,Groq,2022,591,28,2310,25.4,"We now finish tasks faster, but some older employees are struggling. HR hosted webinars weekly."
"Hamilton, Kent and Martinez Pvt. Ltd.",Technology,Brazil,Groq,2024,6872,20,20747,18.9,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Reid-Frazier Pvt. Ltd.,Transportation,Brazil,ChatGPT,2023,17899,27,6505,9.8,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Kelly and Sons Pvt. Ltd.,Education,France,ChatGPT,2024,16271,3,14397,11.7,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
Lawrence LLC Pvt. Ltd.,Retail,Brazil,Mixtral,2022,1350,26,14238,11.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Shannon PLC Pvt. Ltd.,Telecom,USA,ChatGPT,2023,6044,8,23730,27.2,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Dennis, Robertson and Bolton Pvt. Ltd.",Advertising,UK,Gemini,2024,13873,13,6373,22.2,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
"Perez, Bradley and Norris Pvt. Ltd.",Education,Switzerland,Groq,2022,730,30,20883,16.1,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
Christensen-Moore Pvt. Ltd.,Manufacturing,India,ChatGPT,2024,4706,10,6522,11.9,Our workflows have improved drastically with generative AI. Job rotations have increased.
Mendez LLC Pvt. Ltd.,Advertising,Brazil,Claude,2022,4495,1,3172,12.2,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
Lambert PLC Pvt. Ltd.,Finance,Switzerland,LLaMA,2023,1382,29,10661,25.7,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Smith, Lloyd and Martin Pvt. Ltd.",Entertainment,Brazil,Groq,2022,7437,6,4063,33.1,There's concern that AI will replace some of us soon. It changed how we communicate internally.
"Benjamin, Peck and Williams Pvt. Ltd.",Legal Services,Switzerland,Claude,2024,12320,8,21470,22.1,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
Becker-Clarke Pvt. Ltd.,Education,India,Mixtral,2023,9859,4,20251,10.7,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
"Griffith, Williams and Hughes Pvt. Ltd.",Healthcare,South Africa,Mixtral,2024,15500,19,641,7.1,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
Ingram Group Pvt. Ltd.,Defense,Brazil,LLaMA,2023,18796,27,24823,5.9,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
Morris Ltd Pvt. Ltd.,Entertainment,South Korea,ChatGPT,2023,10952,16,18453,14.9,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Hill-Arias Pvt. Ltd.,Manufacturing,Brazil,ChatGPT,2023,12299,7,23752,15.2,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Klein Ltd Pvt. Ltd.,Education,UAE,Groq,2022,8401,6,19405,28.1,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Williams, Schroeder and Steele Pvt. Ltd.",Hospitality,UK,ChatGPT,2022,17753,26,8270,25.0,Our workflows have improved drastically with generative AI. Job rotations have increased.
Brown-Perez Pvt. Ltd.,Manufacturing,UK,Mixtral,2024,2654,19,5699,25.6,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
"Nguyen, Phelps and Fisher Pvt. Ltd.",Entertainment,Singapore,LLaMA,2022,4703,1,8146,29.1,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
"Wade, Rojas and Koch Pvt. Ltd.",Hospitality,UK,Gemini,2022,8417,26,21884,10.0,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Bishop-Burns Pvt. Ltd.,Finance,Singapore,Gemini,2022,10086,12,18599,32.7,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
"Smith, Webb and Farrell Pvt. Ltd.",Transportation,Switzerland,ChatGPT,2024,6385,17,11818,7.8,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
"Brown, Holt and Webb Pvt. Ltd.",Transportation,USA,Gemini,2023,19662,23,15531,30.8,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
"Reynolds, Clements and Copeland Pvt. Ltd.",Transportation,Brazil,ChatGPT,2022,2033,20,551,32.8,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Fisher Group Pvt. Ltd.,Technology,South Korea,LLaMA,2023,14498,12,6606,10.6,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
"Rice, Anderson and Williams Pvt. Ltd.",Utilities,Singapore,Mixtral,2024,2745,4,14394,19.5,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Miller LLC Pvt. Ltd.,Advertising,Switzerland,Claude,2023,18280,7,14047,23.1,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
"Olsen, Adams and Wright Pvt. Ltd.",Manufacturing,South Korea,Gemini,2022,6959,28,6167,10.8,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Torres, Sanders and Bennett Pvt. Ltd.",Advertising,France,Claude,2024,18149,3,7457,28.7,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Hoover-Parker Pvt. Ltd.,Legal Services,India,Mixtral,2023,18580,15,23454,4.6,There's concern that AI will replace some of us soon. It changed how we communicate internally.
"Young, Jones and Sharp Pvt. Ltd.",Defense,Brazil,Gemini,2022,18050,24,19463,34.8,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Prince Group Pvt. Ltd.,Hospitality,Germany,Mixtral,2022,8291,1,20602,25.3,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Cox, Wolfe and Petersen Pvt. Ltd.",Education,Germany,Gemini,2023,2541,6,8724,16.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
"Cruz, Walsh and Wilson Pvt. Ltd.",Healthcare,Japan,Gemini,2022,15647,9,16638,5.2,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Webb and Sons Pvt. Ltd.,Healthcare,UAE,ChatGPT,2023,17396,14,14887,5.1,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Pace, Morgan and Kane Pvt. Ltd.",Legal Services,Japan,Claude,2023,15926,21,23934,13.5,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
"Hancock, Smith and Mejia Pvt. Ltd.",Manufacturing,Germany,LLaMA,2024,5772,9,16566,32.6,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
"Williams, Fisher and Sloan Pvt. Ltd.",Legal Services,South Korea,LLaMA,2023,11623,12,23548,29.6,Collaboration improved; documentation and meetings are more efficient. Some departments feel left behind.
"Wilson, Hanson and Cruz Pvt. Ltd.",Finance,UK,Claude,2022,15832,2,24557,26.8,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Hall-Riggs Pvt. Ltd.,Transportation,South Africa,Claude,2023,5158,5,3631,26.4,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
Gonzalez-Campbell Pvt. Ltd.,Manufacturing,Australia,LLaMA,2022,15199,24,4112,22.1,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
"Rodriguez, Hunter and Bauer Pvt. Ltd.",Retail,Brazil,ChatGPT,2024,9162,22,10572,32.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
Reed-Rodriguez Pvt. Ltd.,Finance,Canada,LLaMA,2023,16021,8,23821,16.4,"We now finish tasks faster, but some older employees are struggling. Some departments feel left behind."
Sellers-Ford Pvt. Ltd.,Hospitality,Switzerland,LLaMA,2024,4274,10,1081,17.2,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
"Singleton, Lopez and Macias Pvt. Ltd.",Transportation,Japan,Mixtral,2024,13171,15,9939,9.3,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
Johnson-Brown Pvt. Ltd.,Education,South Korea,ChatGPT,2022,421,29,10418,31.4,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
Morgan-Rios Pvt. Ltd.,Healthcare,USA,ChatGPT,2022,6484,9,17120,21.4,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Curry-Merritt Pvt. Ltd.,Defense,South Africa,Groq,2024,16396,18,16592,20.0,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Potter-Ross Pvt. Ltd.,Education,USA,Gemini,2023,4066,27,4256,4.4,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
"Payne, Booth and Turner Pvt. Ltd.",Education,Switzerland,LLaMA,2022,13463,15,12580,3.5,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
Norman LLC Pvt. Ltd.,Advertising,Japan,Groq,2024,18428,13,13357,19.9,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
Cox-Johnson Pvt. Ltd.,Defense,Japan,Gemini,2023,2824,19,10449,25.7,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
Richard LLC Pvt. Ltd.,Technology,Japan,Groq,2024,401,26,14751,15.1,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
"Gonzalez, Hansen and Wang Pvt. Ltd.",Technology,France,Claude,2024,10049,30,14854,19.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Patel LLC Pvt. Ltd.,Advertising,Switzerland,Claude,2023,5442,24,17140,29.4,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
Perez-Peters Pvt. Ltd.,Entertainment,Switzerland,ChatGPT,2023,2382,24,12731,15.6,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
"Graves, Ruiz and Freeman Pvt. Ltd.",Advertising,India,ChatGPT,2022,15758,18,5197,32.6,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Eaton Group Pvt. Ltd.,Education,USA,LLaMA,2023,6693,24,12123,20.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
"White, Morrison and Andrews Pvt. Ltd.",Utilities,Singapore,LLaMA,2024,15406,23,21847,29.4,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
"Graves, Maxwell and Lee Pvt. Ltd.",Defense,Brazil,Gemini,2023,293,5,12707,22.8,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Gardner, Taylor and Sweeney Pvt. Ltd.",Finance,Switzerland,Gemini,2023,3620,30,11190,21.2,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
Briggs-Hogan Pvt. Ltd.,Utilities,South Africa,LLaMA,2024,13165,28,15974,8.0,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
Goodman-Johnson Pvt. Ltd.,Education,France,Mixtral,2023,4285,21,15649,8.6,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
"Mills, Daugherty and Davis Pvt. Ltd.",Technology,South Africa,Gemini,2022,15375,22,22785,32.8,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
"Greene, Fernandez and Rhodes Pvt. Ltd.",Legal Services,France,Mixtral,2023,3885,20,14474,11.3,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
"James, Flynn and Garcia Pvt. Ltd.",Education,Singapore,ChatGPT,2024,5320,3,9497,10.2,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
"Cardenas, Martinez and Werner Pvt. Ltd.",Retail,France,Gemini,2023,19576,15,2893,29.2,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Robinson LLC Pvt. Ltd.,Advertising,Switzerland,Groq,2023,6321,18,2019,19.4,Our workflows have improved drastically with generative AI. HR hosted webinars weekly.
Higgins-Wells Pvt. Ltd.,Technology,Singapore,ChatGPT,2022,18108,13,7151,33.4,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
"Lane, Johnson and Thomas Pvt. Ltd.",Entertainment,Switzerland,Claude,2024,13173,11,22659,6.5,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Taylor, Reynolds and Smith Pvt. Ltd.",Technology,UK,Mixtral,2022,11443,22,19057,27.6,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
"Gardner, Davis and Thomas Pvt. Ltd.",Technology,France,Gemini,2023,4612,29,18374,17.9,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Smith-Woods Pvt. Ltd.,Entertainment,France,Groq,2022,2915,16,9786,11.2,Our workflows have improved drastically with generative AI. Monthly town halls discuss the AI rollout.
Graves Inc Pvt. Ltd.,Education,Australia,LLaMA,2023,17665,30,17809,10.8,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
Alvarez-Perez Pvt. Ltd.,Utilities,USA,Claude,2022,6303,6,1287,6.9,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Peterson, Walker and Porter Pvt. Ltd.",Legal Services,Singapore,Claude,2023,9687,11,4198,27.5,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Smith, Gardner and Walker Pvt. Ltd.",Advertising,UAE,Claude,2022,12263,2,4445,29.0,Our workflows have improved drastically with generative AI. My team adapted faster than others.
Smith LLC Pvt. Ltd.,Transportation,India,Mixtral,2023,7836,12,9168,3.0,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Brown-Singh Pvt. Ltd.,Legal Services,Brazil,LLaMA,2023,6811,16,5282,15.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Robinson Ltd Pvt. Ltd.,Entertainment,France,Mixtral,2022,4469,5,4626,6.5,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
"Conner, Jones and Smith Pvt. Ltd.",Transportation,France,Claude,2024,12586,20,15269,25.6,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Wood, Walters and Alexander Pvt. Ltd.",Manufacturing,South Korea,LLaMA,2022,3166,15,19265,20.8,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
"Fry, Roberson and Hicks Pvt. Ltd.",Entertainment,South Africa,ChatGPT,2024,18392,27,20200,29.4,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
"Murray, Thompson and Cox Pvt. Ltd.",Telecom,Switzerland,LLaMA,2024,12281,26,615,25.0,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
"Nguyen, Hernandez and Hodges Pvt. Ltd.",Manufacturing,Switzerland,Groq,2022,2265,9,18291,12.9,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
"Powers, Jones and Colon Pvt. Ltd.",Manufacturing,Australia,Gemini,2023,18132,18,19910,14.9,There's concern that AI will replace some of us soon. Managers were initially skeptical.
Clark-Moreno Pvt. Ltd.,Transportation,UAE,ChatGPT,2024,1226,12,13849,18.4,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
Gray and Sons Pvt. Ltd.,Telecom,Australia,ChatGPT,2023,19343,7,3251,24.4,There's concern that AI will replace some of us soon. Job rotations have increased.
"Turner, Saunders and Skinner Pvt. Ltd.",Technology,India,Gemini,2023,6538,2,11079,8.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
Little Inc Pvt. Ltd.,Legal Services,UAE,Groq,2022,14394,10,11763,3.7,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
"Hanson, Gilbert and Newman Pvt. Ltd.",Utilities,Australia,Groq,2022,9547,20,7463,11.5,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
Hodge-Smith Pvt. Ltd.,Transportation,South Africa,ChatGPT,2022,15906,10,17721,13.2,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
"Swanson, Escobar and Carrillo Pvt. Ltd.",Hospitality,India,Gemini,2024,15899,16,14099,11.3,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Clark-Delgado Pvt. Ltd.,Hospitality,USA,Groq,2023,1456,28,16568,4.3,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
Charles PLC Pvt. Ltd.,Transportation,Japan,Mixtral,2023,17971,18,24432,26.1,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
Ashley-Cowan Pvt. Ltd.,Healthcare,UAE,Mixtral,2023,2237,13,24385,30.1,"Mixed responses—management excited, staff feel uncertain. Overall, it's a big shift."
Henry-Thompson Pvt. Ltd.,Manufacturing,Singapore,LLaMA,2022,13058,22,21862,17.8,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Roy Group Pvt. Ltd.,Defense,Singapore,LLaMA,2022,4728,11,7632,5.7,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
Mayo Group Pvt. Ltd.,Healthcare,Brazil,ChatGPT,2023,15260,20,24803,21.3,There's concern that AI will replace some of us soon. Managers were initially skeptical.
Armstrong-Winters Pvt. Ltd.,Entertainment,Australia,Gemini,2022,1762,9,4401,23.1,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
Wallace-Dunn Pvt. Ltd.,Education,South Korea,Groq,2023,8169,23,14009,17.9,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Martinez PLC Pvt. Ltd.,Utilities,Canada,Gemini,2024,19390,16,8615,23.9,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Rollins-Avila Pvt. Ltd.,Finance,Australia,Groq,2022,17902,13,22524,23.5,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
Daugherty-Caldwell Pvt. Ltd.,Education,France,LLaMA,2022,13665,1,8204,15.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Clients now expect faster results due to AI use."
Walters Ltd Pvt. Ltd.,Hospitality,UAE,Claude,2024,19759,26,6871,10.9,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
"Dixon, Jordan and Jones Pvt. Ltd.",Transportation,Australia,ChatGPT,2024,5041,11,11950,33.1,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
Stewart PLC Pvt. Ltd.,Hospitality,UK,Claude,2024,16732,21,6534,2.5,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
"Johnson, Greene and Miller Pvt. Ltd.",Defense,Germany,LLaMA,2024,5092,19,13609,8.6,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
"Curry, Wilson and Jarvis Pvt. Ltd.",Healthcare,Canada,ChatGPT,2023,599,4,1012,13.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
Rodgers-Crane Pvt. Ltd.,Education,Australia,Mixtral,2022,732,19,7143,33.0,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Williamson-Browning Pvt. Ltd.,Entertainment,India,LLaMA,2022,784,8,16023,11.1,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Garza-Sanchez Pvt. Ltd.,Telecom,USA,Gemini,2024,3591,8,11701,11.0,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
Turner Group Pvt. Ltd.,Education,Singapore,Claude,2022,9689,24,4898,30.0,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Hayes, Maldonado and Maldonado Pvt. Ltd.",Hospitality,USA,ChatGPT,2023,18888,15,20073,25.3,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
Scott-Hanson Pvt. Ltd.,Utilities,UAE,Mixtral,2024,9070,22,11058,29.9,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Mccarty LLC Pvt. Ltd.,Transportation,India,ChatGPT,2022,16012,4,7362,5.0,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
Mcclain Group Pvt. Ltd.,Education,Canada,ChatGPT,2024,7008,1,24778,6.3,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
"Barnett, Hall and Melton Pvt. Ltd.",Manufacturing,Canada,ChatGPT,2024,6820,10,6839,13.3,New roles are exciting; transition was smoother than expected. Job rotations have increased.
"Brown, Brown and Hood Pvt. Ltd.",Finance,France,Mixtral,2022,12269,30,18123,31.5,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
Cook-Holland Pvt. Ltd.,Advertising,South Africa,Groq,2024,13694,6,9258,16.0,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
Liu-Hunt Pvt. Ltd.,Finance,Japan,Mixtral,2023,11572,22,3852,10.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Watkins Ltd Pvt. Ltd.,Telecom,South Africa,Gemini,2022,8273,7,9869,2.1,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Wilson Group Pvt. Ltd.,Utilities,Brazil,Groq,2022,4698,26,10837,29.8,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Bradley-Ho Pvt. Ltd.,Entertainment,Australia,Groq,2022,8660,8,5318,8.7,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Cardenas-Thomas Pvt. Ltd.,Hospitality,Brazil,Claude,2023,922,20,5338,3.8,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
Padilla PLC Pvt. Ltd.,Utilities,Canada,Groq,2024,7433,19,9416,28.4,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Atkins LLC Pvt. Ltd.,Education,South Korea,ChatGPT,2022,13327,2,13705,28.9,New roles are exciting; transition was smoother than expected. Job rotations have increased.
Porter Group Pvt. Ltd.,Telecom,Australia,Gemini,2024,15099,17,2982,18.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Clients now expect faster results due to AI use."
"Bennett, Davis and Mccann Pvt. Ltd.",Defense,Germany,ChatGPT,2023,12475,11,22783,25.5,There's concern that AI will replace some of us soon. Some departments feel left behind.
Hinton-Bass Pvt. Ltd.,Utilities,Australia,Gemini,2023,6913,24,10006,31.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Livingston-Roberts Pvt. Ltd.,Telecom,Japan,ChatGPT,2022,5303,15,16460,32.5,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
Hall-Manning Pvt. Ltd.,Entertainment,South Africa,Groq,2022,171,14,6827,26.9,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
Waters-Castillo Pvt. Ltd.,Retail,Singapore,Groq,2023,8117,25,3328,20.2,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
"Parsons, Sanders and Burch Pvt. Ltd.",Technology,France,LLaMA,2024,10159,2,1102,32.9,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Price-Crawford Pvt. Ltd.,Finance,UAE,ChatGPT,2022,4342,29,12333,4.3,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Hall Ltd Pvt. Ltd.,Utilities,UAE,LLaMA,2022,14031,24,23049,3.3,Our workflows have improved drastically with generative AI. Job rotations have increased.
"White, Morrison and Adams Pvt. Ltd.",Utilities,Brazil,Mixtral,2023,13652,29,6588,24.4,There's concern that AI will replace some of us soon. Job rotations have increased.
Barker-Durham Pvt. Ltd.,Advertising,Australia,Gemini,2024,2998,26,3182,13.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
"Moore, Shaw and Lee Pvt. Ltd.",Hospitality,Switzerland,Gemini,2022,3344,21,15717,10.4,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
Guerra PLC Pvt. Ltd.,Telecom,Switzerland,Claude,2023,11104,27,23310,17.3,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
"Gutierrez, Ruiz and Klein Pvt. Ltd.",Entertainment,Australia,LLaMA,2024,1306,25,12208,30.3,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
"Moore, Olson and Watkins Pvt. Ltd.",Advertising,Switzerland,Mixtral,2022,5820,9,17103,20.1,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Lester-Jefferson Pvt. Ltd.,Hospitality,UK,Gemini,2023,6280,17,13393,8.9,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
Colon-Luna Pvt. Ltd.,Telecom,South Korea,Claude,2023,12635,22,528,25.9,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Riddle-Reed Pvt. Ltd.,Education,South Korea,Mixtral,2024,10640,22,24459,21.3,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Malone-Malone Pvt. Ltd.,Manufacturing,Singapore,Claude,2022,12256,4,9345,8.5,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
"Miller, Sanchez and Rich Pvt. Ltd.",Entertainment,India,Groq,2023,3119,21,3012,23.2,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Norris-Campbell Pvt. Ltd.,Healthcare,India,Groq,2024,18724,21,16377,18.5,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
Berry-Hudson Pvt. Ltd.,Defense,France,ChatGPT,2024,3807,4,22206,20.5,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
Browning-Jones Pvt. Ltd.,Technology,India,LLaMA,2024,10700,21,18685,12.6,"Mixed responses—management excited, staff feel uncertain. My team adapted faster than others."
"Wilkinson, Porter and Joyce Pvt. Ltd.",Retail,Singapore,Gemini,2023,18662,3,19450,25.5,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Allen-Harris Pvt. Ltd.,Manufacturing,Singapore,Claude,2023,2452,25,16326,31.5,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Turner-King Pvt. Ltd.,Manufacturing,France,Gemini,2022,13833,17,11843,16.2,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
"Davidson, Spencer and Roberts Pvt. Ltd.",Advertising,UK,Gemini,2024,3012,21,8540,28.2,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Thompson-Mason Pvt. Ltd.,Hospitality,UAE,ChatGPT,2023,15390,6,740,11.4,There's concern that AI will replace some of us soon. Managers were initially skeptical.
"Mitchell, Barton and Bailey Pvt. Ltd.",Advertising,Brazil,Claude,2024,16067,19,13471,25.0,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
